provinsi_id,kabupaten_id,kepadatan_penduduk,tingkat_pendidikan,tingkat_pengangguran,akses_air_bersih,akses_listrik,fasilitas_kesehatan,jalan_aspal,luas_sawah,pendapatan_perkapita,jenis_wilayah,kemiskinan
31,305,19.57,13.01,3.72,74.06,96.23,12,86.0,2101.76,2705981.87,urban,0
1,428,6.14,7.51,3.05,73.02,88.13,15,74.24,5859.39,2016187.82,rural,0
2,331,217.07,7.21,5.27,82.95,90.19,18,85.1,8691.7,675611.6,rural,0
17,31,47.5,9.36,5.58,89.56,90.01,17,79.57,1405.1,4099417.78,urban,0
9,288,57.1,2.64,10.15,92.6,66.53,18,86.26,7987.04,916190.12,urban,1
10,128,35.99,4.49,9.53,80.32,91.65,20,63.78,330.35,5425794.99,rural,0
4,473,142.25,9.27,2.25,93.46,83.27,15,59.11,533.9,1034296.75,rural,0
27,14,244.37,11.22,3.09,86.62,91.73,21,72.67,2907.77,2005905.2,rural,0
32,310,658.07,7.81,1.78,89.61,87.04,13,59.7,1223.16,1089782.29,urban,0
21,49,287.04,10.6,2.72,63.6,90.27,11,83.37,885.24,3735517.75,urban,0
16,277,35.79,13.17,1.06,93.76,98.41,12,35.3,2212.18,1691294.32,urban,0
32,29,117.85,7.42,5.32,64.41,98.0,18,67.95,5332.34,521291.58,rural,1
24,113,28.52,7.83,2.35,91.98,67.94,10,45.23,1399.87,995969.99,rural,1
21,186,501.86,13.06,10.3,72.2,89.14,20,61.19,5876.07,352539.36,urban,0
27,484,181.19,8.58,3.35,46.41,85.72,23,32.08,1441.76,1438669.06,rural,0
28,49,258.17,8.8,8.31,79.69,73.86,12,82.39,1899.4,1373596.69,urban,1
19,348,151.83,8.33,3.3,58.48,93.36,14,51.37,3382.66,2326853.03,urban,0
4,189,83.07,5.71,4.2,96.64,85.27,17,49.02,3470.86,5784099.89,urban,0
18,475,290.24,8.07,6.27,96.03,92.37,12,65.54,1523.83,5465478.82,rural,0
32,343,358.22,7.74,6.69,97.94,54.53,22,62.98,3163.9,3498390.67,urban,0
21,73,14.32,8.82,6.99,72.33,72.97,11,36.36,1937.39,1996209.43,urban,0
27,256,541.66,9.77,3.28,67.65,69.52,13,73.59,6510.02,2636860.87,urban,0
26,475,131.04,8.44,9.54,90.2,90.07,18,67.19,7313.37,2600765.5,urban,0
31,410,509.92,7.74,5.4,60.73,83.82,6,60.98,3751.43,2554734.72,urban,0
16,349,242.35,14.17,4.7,60.43,78.93,17,79.75,9409.73,482790.24,urban,1
33,75,227.12,5.91,12.22,68.1,88.95,16,48.79,2819.77,1575870.37,urban,1
29,422,158.6,5.06,5.34,63.28,90.1,17,31.36,7806.61,1285661.27,urban,1
18,432,793.07,11.69,2.75,89.22,41.02,12,45.96,11082.8,1299561.88,rural,0
2,166,135.14,9.45,2.45,75.61,79.39,7,93.26,25604.39,1336453.68,urban,1
28,235,972.11,2.77,5.95,78.58,87.56,14,76.0,403.62,1582665.86,urban,1
4,205,808.69,12.68,4.43,85.33,90.49,19,26.33,10903.86,770102.47,urban,0
